"elencoid","pelicula_id","personajeid"
1869,148,2362
1870,148,956
1871,148,2363
1872,148,2364
1873,148,195
1874,148,2365
1875,148,94
1876,148,2366
1877,148,2367
1878,148,2368
1879,148,2369
1880,148,2370
1881,148,2371
1882,148,2372
1883,148,2373
1884,148,2374
1885,148,2375
1886,148,2376
1887,148,2377
1888,148,66
1889,152,434
1890,152,1539
1891,152,1218
1893,152,2232
1894,152,2417
1900,154,2437
1909,157,729
1910,157,2055
1911,157,1098
1912,157,2470
1913,157,1743
1914,157,95
1915,157,267
1916,157,2471
1917,157,510
1918,157,2472
1919,157,459
1920,157,2473
1921,157,894
1922,157,1446
1923,157,2114
1924,157,1244
1925,157,2474
1926,157,312
1927,157,801
1928,157,749
1929,157,280
1930,157,1283
1931,157,445
1932,157,1137
1933,157,2475
1934,157,748
1935,157,2476
1936,157,1815
1937,157,2477
1938,157,2478
1939,157,49
1940,157,751
1941,157,1186
1942,157,2479
1943,157,2480
1944,157,892
1945,157,2080
1946,157,2481
1947,141,2474
1948,157,422
2816,242,549
2817,242,2089
2818,242,3317
2819,242,3318
2820,242,1269
2821,242,3319
2822,242,3321
2823,242,328
2824,242,490
2839,244,2276
2840,244,1337
2841,244,2345
2842,244,548
2843,244,771
2844,244,505
2845,244,3339
2846,244,206
2847,244,973
2848,244,3340
2849,244,3341
2850,244,3342
2851,244,508
2852,244,3344
2853,244,3345
2854,244,3346
2855,244,3347
2856,245,3354
2857,245,3355
2858,245,3356
2859,245,3357
2869,253,3394
2870,253,771
2871,253,3395
2872,253,2297
2873,253,3396
2874,253,1871
2875,253,3397
2876,253,3398
2877,253,3399
2878,253,3400
2914,274,3556
2915,274,3557
2916,274,3558
2917,274,3561
2918,274,2323
2919,274,663
2920,274,3562
2921,274,3563
2922,274,3564
2923,274,3565
2924,274,2222
2925,274,3458
2926,274,3566
2927,274,3567
2928,274,2342
3016,297,2114
3017,297,1244
3018,297,3752
3019,297,3753
3040,299,871
3041,299,1313
3042,299,65
3043,299,1566
