"premios","pelicula_id"
"<li> Mejor montaje, Festival de Cine Chileno Quilpué, 2011.<br>
<li> Premio del público, Festival CINE//B_4, Chile, 2011.",1846
"<li> Mejor largometraje nacional, Festival CINE//B_4, Chile, 2011.",785
"<li> Mejor director, Mejor elenco, Festival CINE//B_4, Chile, 2011.<br>
<li> Mejor director, Festival Internacional de Cine de Antofagasta, 2011.",1497
"<li> Mejor Largometraje Ficción Nacional, Mejor Actor (Santiago de Aguirre), Festival Internacional de Cine de Antofagasta, 2011.",1770
"<li> Mejor Interpretación Protagónica Masculina (Martín Castillo), Mejor Interpretación Secundaria Masculina (Francisco Braithwaite), Premios Pedro Sienna, 2011. ",274
"<li> Mejor documental, Premios Cinema Tropical, 2011.",786
"<li> Premio mejor película nacional de ficción, Círculo de Críticos de Arte, 2011.",1379
"<li> Premio mejor película nacional documental, Círculo de Críticos de Arte, 2011.",786
"<li> Mejor director competencia nacional, Premio del público, Festival Internacional de Cine de Antofagasta, 2011.",1690
"<li> Gran Premio Internacional del Jurado, Festival de Cine de Sundance, Estados Unidos, 2012.",1379
"<li> Premio al Mejor Guión Dramático Internacional, Festival de Cine de Sundance, Estados Unidos, 2012.",1982
"<li> Tiger award, Festival Internacional de Cine de Rotterdam, Holanda, 2012.",2013
"<li> Mejor película, Festival de Cine Digital de Lima, 2012.",1200
"<li> Mejor filme iberoamericano, Mejor guión, Festival de Cine de Miami, 2012.",1378
"<li> Mención especial del jurado, Festival de Cine de Miami, 2012.",1379
"<li> Mejor documental, Muestra de Cine Latinoamericano de Cataluña, España, 2012.",1200
"<li> Mención especial, Festival de cine de Toulouse, Francia, 2012.",1496
"<li> Premio del público, Festival de cine de Toulouse, Francia, 2012.",1379
"<li> Mención especial Premio Feisal, Buenos Aires Festival Internacional de Cine Independiente (Bafici), Argentina, 2012. ",2013
"<li> Primer lugar Categoría New Horizon, Festival de documentales de Al Jazeera, Qatar, 2012.",1753
"<li> Premio del Jurado Joven, Festival Opendoek, Bélgica, 2012.",2013
"<li> Mejor película, WorldFest, Houston, 2012.",1382
"<li> Premio Art Cinema Award, Quincena de Realizadores, Cannes, 2012.",2094
"<li> Mejor Película, Mejor Película de Ficción, Mejor Director, Mejor Actor (Martínez), Mejor Actriz (Contador), Mejor Fotografía, Mejor Diseño y Mejor Diseño de Vestuario, Los Angeles Movie Awards, Estados Unidos, 2012.",1382
"<li> Premio del público, TarkovskyFest, Rusia, 2012<br>
<li> Mejor fotografía, Transilvania Internacional Film Festival, Rumania, 2012.<br>
<li> Gran Premio Largometraje Ciudad Lisboa, IndieLisboa International Film Festival, Lisboa, Portugal, 2012.<br>
<li> Mejor película, Festival Cines del Sur, Granada, España, 2012.",2013
"<li> Mención honrosa, Los Angeles Film Festival, EE.UU., 2012.",2013
"<li> Premio del público, Festival Internacional de Documentales de Santiago, 2012.",2135
