agno,titulo,linea,region,tipo,responsable,monto
2011,EN BENEFICIO PROPIO ,PRODUCCIÓN DE OBRAS AUDIOVISUALES DE LARGOMETRAJE,RM,PERSONA JURÍDICA,ZOOFILMS Y MULTIMEDIOS PRODUCCIONES LTDA ,"  76,400,885 "
2011,ATRAPADOS EN JAPON,PRODUCCIÓN DE OBRAS AUDIOVISUALES DE LARGOMETRAJE ,RM,PERSONA JURÍDICA ,"VIVIENNE BARRY ANIMACION PRODUCCIONES AUDIOVISUALES E.I.R.L,   ","  81,224,168 "
2012,"WE ARE SUDAMERICAN BEATS,LA HISTORIA DEL MOVIMIENTO ELECTRONICO EN CHILE",PRODUCCIÓN DE OBRAS AUDIOVISUALES DE LARGOMETRAJE Y MEDIOMETRAJE,V,PERSONA JURÍDICA,TREBOL 3 PRODUCCIONES LTDA,"  81,297,587 "
2012,VACACIONES EN FAMILIA,PRODUCCIÓN DE OBRAS AUDIOVISUALES DE LARGOMETRAJE Y MEDIOMETRAJE,RM,PERSONA JURÍDICA,PRODUCCIONES EL PASEODIGITAL LIMITADA,"  101,954,862 "
2012,LAS ANALFABETAS - POST PRODUCCIÓN,PRODUCCIÓN DE OBRAS AUDIOVISUALES DE LARGOMETRAJE Y MEDIOMETRAJE,RM,PERSONA JURÍDICA,PLANTA PRODUCCIONES LIMITADA,"  30,820,894 "
2012,R. LORENA,PRODUCCIÓN DE OBRAS AUDIOVISUALES DE LARGOMETRAJE Y MEDIOMETRAJE,RM,PERSONA JURÍDICA,FORASTERO PRODUCCIONES AUDIOVISUALES LIMITADA,"  96,136,371 "
2012,SENTIDO COMÚN,PRODUCCIÓN DE OBRAS AUDIOVISUALES DE LARGOMETRAJE Y MEDIOMETRAJE,RM,PERSONA JURÍDICA,ASESORÍAS Y PRODUCCIONES FABULA LIMITADA,"  148,000,000 "
2012,ROSITA: LA AMANTE DEL FÜHRER,PRODUCCIÓN DE OBRAS AUDIOVISUALES DE LARGOMETRAJE Y MEDIOMETRAJE,RM,PERSONA JURÍDICA,CARNADA FILMS EIRL,"  35,469,845 "
2012,CIRCO,PRODUCCIÓN DE OBRAS AUDIOVISUALES DE LARGOMETRAJE Y MEDIOMETRAJE,RM,PERSONA JURÍDICA,ALCE PRODUCCIONES SA,"  48,761,696 "
2012,EL BOSQUE (LARGOMETRAJE),PRODUCCIÓN DE OBRAS AUDIOVISUALES DE LARGOMETRAJE Y MEDIOMETRAJE,RM,PERSONA JURÍDICA,PRODUCTORA OCIO LIMITADA,"  157,250,000 "
2012,EL OJO DEL GATO,PRODUCCIÓN DE OBRAS AUDIOVISUALES DE LARGOMETRAJE Y MEDIOMETRAJE,RM,PERSONA JURÍDICA,PRODUCTORA ATIEMPO LTDA.,"  145,907,200 "
2012,LARGOMETRAJE LA VISITA,PRODUCCIÓN DE OBRAS AUDIOVISUALES DE LARGOMETRAJE Y MEDIOMETRAJE,RM,PERSONA JURÍDICA,GUTIERREZ Y ROJAS PRODUCCIONES LIMITADA,"  152,317,253 "
2012,LARGOMETRAJE PUERTO VIEJO,PRODUCCIÓN DE OBRAS AUDIOVISUALES DE LARGOMETRAJE Y MEDIOMETRAJE,RM,PERSONA JURÍDICA,AGENCIA DE COM. Y PRODUCTORA C COMUNICA LTDA.,"  148,295,563 "
2012,"LAUTARO EDEN, UN HEROE INVISIBLE",PRODUCCIÓN DE OBRAS AUDIOVISUALES DE LARGOMETRAJE Y MEDIOMETRAJE,RM,PERSONA JURÍDICA,COMERCIAL PABLO CORTES SANTANDER,"  58,442,375 "
2012,BRILLANTES,PRODUCCIÓN DE OBRAS AUDIOVISUALES DE LARGOMETRAJE Y MEDIOMETRAJE,RM,PERSONA JURÍDICA,KUKU FILMS AUDIOVISUAL S.A.,"  162,000,000 "
2012,SHADOW GIRL,PRODUCCIÓN DE OBRAS AUDIOVISUALES DE LARGOMETRAJE Y MEDIOMETRAJE,RM,PERSONA JURÍDICA,MARÍA TERESA LARRAIN NAVARRO PRODUCCIONES,"  57,900,000 "
2012,CUADERNOS DEL SUBSUELO,PRODUCCIÓN DE OBRAS AUDIOVISUALES DE LARGOMETRAJE Y MEDIOMETRAJE,RM,PERSONA JURÍDICA,ALTER PRODUCCIONES AUDIOVISUALES,"  33,200,000 "
2012,LOS ELEMENTALES,PRODUCCIÓN DE OBRAS AUDIOVISUALES DE LARGOMETRAJE Y MEDIOMETRAJE,RM,PERSONA JURÍDICA,OLGUINFILMS,"  119,076,433 "
2012,MAPA FILMICO DE UN PAÍS,PRODUCCIÓN DE OBRAS AUDIOVISUALES DE LARGOMETRAJE Y MEDIOMETRAJE,RM,PERSONA NATURAL,CHRISTOPHER   MURRAY GARCÍA,"  29,996,156 "
2012,PUERTAS ADENTRO,PRODUCCIÓN DE OBRAS AUDIOVISUALES DE LARGOMETRAJE Y MEDIOMETRAJE,RM,PERSONA NATURAL,GONZALO  DÍAZ UGARTE,"  26,592,252 "
2012,"DOCUMENTAL ""AGUA TURBIA""",PRODUCCIÓN DE OBRAS AUDIOVISUALES DE LARGOMETRAJE Y MEDIOMETRAJE,RM,PERSONA NATURAL,CRISTÓBAL AZÓCAR MIRA,"  29,583,664 "
